StockQty,ReservedQty,AvailableQty,ReorderLevel,SafetyStock,InventoryValue,LastUpdated
3620,994,2626,391,380,6204100.8,2026-07-07
3362,741,2621,420,407,15471016.26,2026-07-07
4425,55,4370,845,524,12583549.5,2026-07-17
272,10,262,68,26,196305.12,2026-07-11
3832,372,3460,434,324,7382577.92,2026-07-14
1783,465,1318,345,175,6807654.47,2026-07-01
3155,284,2871,700,372,4097524.7,2026-07-15
720,120,600,74,105,221630.4,2026-06-19
2916,229,2687,623,180,11422263.6,2026-06-24
379,96,283,38,33,392962.36,2026-07-15
216,19,197,36,14,517132.08,2026-07-01
987,288,699,153,108,3466689.45,2026-07-05
3071,171,2900,617,211,11977114.97,2026-06-24
1391,159,1232,166,75,6465354.09,2026-07-03
4766,1387,3379,860,441,22449194.48,2026-07-10
1674,38,1636,318,243,2096015.4,2026-06-26
2520,700,1820,559,332,1636034.4,2026-07-11
4686,84,4602,823,506,10170822.42,2026-06-19
3085,70,3015,567,328,347463.55,2026-07-01
3491,1003,2488,457,395,16777396.9,2026-07-13
3816,313,3503,826,280,14051618.64,2026-06-27
2262,630,1632,501,311,5526767.22,2026-07-13
3618,549,3069,691,305,15058550.16,2026-06-24
759,71,688,187,94,954154.08,2026-07-03
3856,776,3080,729,206,9627737.92,2026-07-13
2712,186,2526,520,243,4898902.56,2026-07-18
2166,348,1818,359,260,7626182.76,2026-06-28
2313,569,1744,236,247,10970350.83,2026-06-26
751,61,690,167,89,1853813.46,2026-07-07
2018,487,1531,452,214,8021590.36,2026-06-26
812,75,737,109,91,2821172.2,2026-07-15
2558,679,1879,552,315,6120373.12,2026-07-14
4399,704,3695,874,600,12204673.58,2026-06-19
2932,719,2213,525,284,4596730.96,2026-07-18
1938,123,1815,291,176,1243808.4,2026-07-04
4439,379,4060,639,331,16451333.51,2026-07-12
2315,603,1712,499,267,3358694.6,2026-06-19
873,99,774,162,72,1603142.28,2026-06-24
2526,14,2512,614,262,1709066.34,2026-07-06
422,124,298,48,56,631345.76,2026-07-03
1084,251,833,134,55,3134516.08,2026-06-30
3895,980,2915,840,368,3749327.0,2026-06-21
470,64,406,108,30,1936150.9,2026-06-30
3332,503,2829,370,461,10548312.32,2026-07-16
489,38,451,67,60,2321855.13,2026-06-22
747,63,684,89,108,2863998.0,2026-06-23
4933,1266,3667,724,643,13006989.09,2026-07-12
3740,906,2834,678,488,18515431.0,2026-06-22
2551,582,1969,572,157,7825626.17,2026-07-14
862,106,756,140,76,2861081.44,2026-06-25
1336,122,1214,177,85,1101986.24,2026-06-25
3396,461,2935,691,473,8069133.72,2026-07-12
317,29,288,49,33,1118943.43,2026-07-15
3769,145,3624,615,323,14886607.75,2026-06-27
4881,1354,3527,690,461,3017141.34,2026-07-01
1891,152,1739,325,130,762980.68,2026-07-14
1409,405,1004,218,143,3133348.29,2026-07-18
3889,622,3267,800,333,9828825.26,2026-07-09
4095,896,3199,491,510,1012734.45,2026-06-29
3589,660,2929,614,192,1801929.23,2026-07-15
4762,1202,3560,497,629,16085035.98,2026-06-28
2257,590,1667,245,307,8561997.21,2026-07-04
3904,1062,2842,842,337,3702436.48,2026-07-08
4845,892,3953,1134,658,12035173.8,2026-07-07
797,120,677,123,91,1354804.36,2026-07-10
906,82,824,174,97,3156214.08,2026-07-14
2411,678,1733,446,328,9196687.17,2026-07-10
350,58,292,40,37,454779.5,2026-06-24
999,206,793,230,49,3302114.58,2026-07-01
4494,946,3548,872,251,4397513.82,2026-06-29
3013,637,2376,688,405,9478205.01,2026-06-22
472,52,420,81,58,329701.44,2026-07-05
2409,448,1961,597,244,1568403.54,2026-06-20
2010,162,1848,360,241,236556.9,2026-07-17
3392,95,3297,454,227,7917504.64,2026-07-15
1012,78,934,228,141,1512646.52,2026-06-30
2289,425,1864,475,234,2876059.83,2026-07-17
4565,296,4269,848,325,21059486.25,2026-06-29
4213,279,3934,492,351,16324279.62,2026-06-19
3449,696,2753,617,173,5001222.45,2026-06-22
2495,601,1894,545,292,6171931.4,2026-06-21
1267,228,1039,263,186,2227842.12,2026-06-30
4571,1112,3459,843,461,21335691.02,2026-06-22
1595,357,1238,220,225,3103407.45,2026-06-20
3415,89,3326,666,412,12092105.2,2026-07-05
3173,395,2778,656,235,7938465.24,2026-06-22
353,16,337,67,38,1537322.06,2026-07-13
3656,204,3452,903,415,460546.32,2026-06-30
1230,209,1021,290,80,517092.0,2026-07-02
2221,346,1875,541,288,4480956.34,2026-07-12
707,84,623,156,103,1365252.35,2026-06-29
2644,641,2003,631,381,11549785.2,2026-07-15
344,79,265,38,32,1091942.0,2026-06-25
2404,232,2172,286,231,11762219.08,2026-07-16
873,227,646,129,81,3947662.35,2026-07-16
426,83,343,49,39,777190.14,2026-07-11
3578,298,3280,607,449,7476803.48,2026-06-30
1525,87,1438,196,96,4677144.5,2026-07-11
3183,634,2549,667,282,8000311.35,2026-07-08
4827,293,4534,719,477,15483230.01,2026-06-28
3814,522,3292,390,428,17204915.86,2026-06-23
4527,323,4204,527,452,21407820.84,2026-06-23
4863,612,4251,1140,460,16860264.15,2026-07-09
3792,618,3174,582,385,16207045.92,2026-07-06
923,121,802,189,119,1686182.55,2026-07-09
2473,716,1757,398,128,12095022.59,2026-07-08
3292,281,3011,333,453,14261207.36,2026-07-11
451,127,324,81,36,1377791.47,2026-06-21
2936,224,2712,618,243,9170331.76,2026-06-23
1170,321,849,141,173,3692426.4,2026-06-21
372,39,333,87,46,80035.8,2026-07-08
3038,749,2289,370,197,13830981.08,2026-07-05
2726,765,1961,484,225,2845753.18,2026-06-24
4468,749,3719,989,479,20426623.68,2026-07-01
1397,131,1266,262,144,5232421.59,2026-06-28
2824,823,2001,340,380,13601287.68,2026-06-28
1203,115,1088,293,152,4076136.93,2026-07-15
3305,990,2315,763,450,6149249.95,2026-07-10
3282,14,3268,463,438,2171896.32,2026-06-25
3069,688,2381,689,287,9033816.33,2026-07-09
3093,110,2983,654,273,7373124.33,2026-06-27
4649,671,3978,1088,345,15136586.12,2026-07-02
3853,618,3235,803,251,2858540.7,2026-07-11
354,38,316,66,24,188009.4,2026-07-01
4453,277,4176,842,454,8400629.03,2026-06-22
4475,858,3617,1048,603,16318848.25,2026-07-10
3448,202,3246,845,487,7137946.16,2026-07-15
2341,33,2308,423,172,5254959.75,2026-06-23
1984,371,1613,248,274,3706727.04,2026-06-21
2988,62,2926,501,290,2956775.4,2026-07-15
1050,232,818,128,136,1154916.0,2026-06-19
4941,43,4898,545,649,8403998.67,2026-06-23
1081,289,792,160,62,4494365.6,2026-06-30
4590,424,4166,1059,339,18702459.9,2026-06-27
1958,336,1622,270,249,125390.32,2026-07-08
1235,66,1169,261,93,4943260.4,2026-07-12
950,13,937,128,48,1732135.0,2026-07-12
1999,331,1668,207,143,2725776.43,2026-06-29
1088,215,873,242,68,4070251.52,2026-07-08
3951,918,3033,765,459,11808156.15,2026-06-21
3752,1031,2721,601,501,993004.32,2026-06-26
4321,617,3704,901,545,20835559.53,2026-07-07
548,122,426,105,54,1888506.64,2026-06-19
4066,908,3158,481,244,6686333.7,2026-07-07
1265,33,1232,158,98,3972568.05,2026-07-01
4845,1123,3722,816,437,24096171.45,2026-07-11
4396,603,3793,903,477,13393996.56,2026-07-02
862,58,804,141,98,1969842.4,2026-07-09
1921,423,1498,365,212,3887546.91,2026-07-15
828,80,748,136,81,2767407.84,2026-07-12
3116,156,2960,662,397,1191277.96,2026-06-26
749,23,726,129,49,2798054.28,2026-06-28
3102,831,2271,376,439,1076114.82,2026-07-03
4650,1150,3500,802,575,3045936.0,2026-06-29
2946,681,2265,678,363,12806438.76,2026-06-21
471,73,398,86,45,265088.22,2026-07-17
4206,435,3771,578,546,10249349.04,2026-07-15
936,179,757,187,60,3580106.4,2026-06-21
4753,463,4290,914,669,13435685.34,2026-07-04
4610,53,4557,1084,566,19158376.3,2026-06-21
2240,29,2211,316,181,7903526.4,2026-06-21
2581,347,2234,437,132,2446684.76,2026-07-17
1223,289,934,290,112,482412.35,2026-07-12
301,11,290,63,21,575560.16,2026-07-13
3766,698,3068,537,377,5997731.6,2026-07-14
2707,795,1912,560,178,11971815.78,2026-06-26
1324,80,1244,325,78,4483262.6,2026-06-21
2279,453,1826,565,221,5592734.37,2026-07-13
3671,848,2823,646,293,13901966.87,2026-06-22
982,176,806,208,63,1425932.74,2026-06-28
4908,996,3912,1029,586,7738345.44,2026-06-22
1856,404,1452,213,93,1970867.84,2026-07-17
1780,140,1640,308,163,2980093.8,2026-06-22
113,31,82,24,7,77910.11,2026-06-30
4412,471,3941,953,506,18420541.2,2026-07-08
2951,73,2878,498,168,6519614.79,2026-06-24
3816,159,3657,701,484,8299647.36,2026-07-16
3363,726,2637,663,381,4987665.3,2026-06-30
3368,21,3347,830,334,3033793.36,2026-07-17
3819,741,3078,471,413,16155133.8,2026-07-17
2043,446,1597,505,204,5400895.23,2026-06-20
3292,891,2401,487,337,3775199.76,2026-06-22
1427,39,1388,272,100,3819351.23,2026-07-09
1638,463,1175,361,170,2928645.72,2026-07-17
1259,120,1139,151,80,1658153.36,2026-07-16
1471,308,1163,186,92,1363425.77,2026-07-14
4097,950,3147,986,593,11956561.89,2026-07-04
4674,1316,3358,1117,552,7711539.12,2026-07-01
2639,154,2485,488,165,6257491.24,2026-06-28
2530,281,2249,555,140,4534038.3,2026-07-04
657,79,578,124,89,155157.12,2026-06-30
3070,851,2219,453,192,9950177.0,2026-07-01
789,157,632,154,103,1541066.91,2026-07-08
4804,1135,3669,522,470,21857239.2,2026-06-25
4733,1334,3399,665,400,14410943.74,2026-07-03
4157,308,3849,478,437,2337605.81,2026-07-11
2863,731,2132,329,401,9299968.79,2026-07-04
370,31,339,82,46,1833490.6,2026-06-22
4343,1070,3273,1058,298,8040152.47,2026-06-19
2367,396,1971,445,316,4082885.64,2026-07-11
4947,107,4840,1140,578,8442104.97,2026-07-16
2750,96,2654,560,334,4005457.5,2026-06-23
4987,307,4680,839,290,14634650.72,2026-06-22
1208,179,1029,199,143,4237035.84,2026-07-15
3260,132,3128,630,206,5158721.8,2026-06-29
3135,658,2477,718,324,12775940.1,2026-07-13
4362,191,4171,869,478,8030660.1,2026-07-01
3020,316,2704,394,260,5259571.6,2026-06-25
4033,393,3640,634,271,3294880.34,2026-07-05
2473,103,2370,506,320,6731184.51,2026-06-22
4363,77,4286,780,610,13565701.38,2026-06-30
4942,771,4171,651,330,4671128.98,2026-07-06
1406,369,1037,252,81,2929752.5,2026-07-02
1995,454,1541,344,291,7491743.7,2026-06-26
3727,479,3248,918,308,5895629.49,2026-07-10
3892,397,3495,765,541,18441424.68,2026-07-15
3659,945,2714,653,377,9291628.01,2026-07-03
3479,331,3148,551,482,2557308.53,2026-07-18
2098,53,2045,455,199,5863868.04,2026-07-14
890,264,626,120,80,414010.2,2026-06-19
1363,139,1224,251,199,1062294.94,2026-07-15
3633,187,3446,590,411,16090266.36,2026-07-03
268,53,215,29,25,679363.92,2026-06-24
1981,395,1586,239,194,2300872.07,2026-06-25
2660,101,2559,631,304,10553097.8,2026-07-01
1177,19,1158,190,175,4893165.64,2026-06-24
1186,240,946,232,137,90124.14,2026-06-24
699,4,695,101,61,2923965.93,2026-07-15
4545,1246,3299,994,443,2728681.65,2026-06-26
2410,243,2167,395,151,690127.6,2026-07-02
3489,936,2553,412,230,14624492.4,2026-07-02
4144,1222,2922,962,215,13170377.92,2026-07-18
4760,495,4265,623,387,10351714.8,2026-06-29
2940,246,2694,586,360,2872968.0,2026-07-05
751,134,617,121,45,3581781.85,2026-06-28
4507,1039,3468,969,508,678979.55,2026-07-01
3901,89,3812,786,386,5093028.57,2026-07-13
183,22,161,43,11,321488.91,2026-07-12
899,170,729,123,49,1612698.12,2026-07-01
2823,833,1990,611,230,11744809.2,2026-06-21
3856,980,2876,571,261,1397221.6,2026-06-23
3799,75,3724,679,292,1013725.16,2026-07-09
1684,453,1231,178,164,7864599.96,2026-07-02
4272,815,3457,983,455,5570260.8,2026-06-21
1615,146,1469,252,92,7002155.5,2026-06-19
2769,279,2490,339,326,6127547.79,2026-07-05
3326,761,2565,557,363,5748092.98,2026-06-25
1580,254,1326,335,206,2952024.6,2026-07-01
4303,546,3757,514,587,9256914.81,2026-06-26
3577,369,3208,657,342,1995465.22,2026-07-10
2736,676,2060,424,292,6175918.08,2026-07-15
3540,341,3199,808,356,8012046.6,2026-07-09
2938,629,2309,515,286,9446757.06,2026-07-16
519,19,500,102,48,1344095.82,2026-06-19
1360,15,1345,172,180,302260.0,2026-06-24
600,60,540,142,53,1105590.0,2026-06-22
4696,66,4630,1088,312,16019746.56,2026-06-26
3088,380,2708,535,193,8927130.08,2026-07-15
4387,751,3636,845,379,14325002.71,2026-06-20
2094,116,1978,222,292,2033148.36,2026-07-06
4291,792,3499,1004,274,5774784.89,2026-07-17
2182,456,1726,327,265,3193597.02,2026-07-15
4073,409,3664,532,272,17397778.77,2026-06-26
3753,353,3400,830,231,15244836.12,2026-07-09
2668,683,1985,443,166,7397003.32,2026-06-25
2428,307,2121,322,303,8649361.52,2026-06-21
1476,406,1070,239,203,1712160.0,2026-07-03
1696,405,1291,240,144,6720145.6,2026-07-06
265,46,219,61,31,497169.15,2026-06-20
4569,265,4304,1082,680,2178362.13,2026-07-06
2583,407,2176,625,374,6850606.77,2026-06-29
3404,843,2561,415,234,16554605.12,2026-07-01
657,115,542,124,98,1153264.95,2026-06-23
4566,1310,3256,1057,321,17581474.32,2026-07-06
1107,221,886,238,166,358989.03,2026-07-16
1067,265,802,145,91,923008.35,2026-07-08
2693,726,1967,384,311,12764927.72,2026-06-26
4300,581,3719,510,343,4393267.0,2026-06-30
4562,562,4000,584,548,7066446.76,2026-06-26
4420,191,4229,956,549,3910595.0,2026-06-27
4806,315,4491,655,577,15096463.02,2026-07-09
2815,577,2238,302,154,1272520.75,2026-06-20
4774,542,4232,1143,345,18362952.3,2026-06-27
3462,62,3400,855,494,9522611.82,2026-07-05
2524,494,2030,377,332,10213063.12,2026-07-08
3376,304,3072,569,205,11676368.64,2026-07-01
1344,225,1119,240,190,3157042.56,2026-07-01
2836,621,2215,356,301,12235496.6,2026-06-26
2665,751,1914,442,337,1858277.85,2026-06-24
3085,527,2558,595,208,5027377.7,2026-07-07
3871,250,3621,660,423,4944041.2,2026-06-20
843,12,831,121,91,3648175.23,2026-07-11
3475,508,2967,510,340,16235443.25,2026-06-29
2611,194,2417,651,211,6570346.51,2026-06-28
4266,956,3310,936,370,10716106.68,2026-07-11
787,100,687,142,97,3805223.7,2026-07-05
1812,361,1451,205,102,2614190.52,2026-07-03
4944,1339,3605,1182,487,7240240.8,2026-06-30
116,6,110,24,7,512506.56,2026-06-29
3046,782,2264,510,339,834451.7,2026-06-20
469,49,420,92,58,693454.02,2026-06-28
3214,516,2698,551,441,4610868.68,2026-07-08
1023,65,958,126,101,1940968.59,2026-07-04
2827,571,2256,469,214,2926906.18,2026-07-02
4220,822,3398,934,231,1157335.0,2026-06-22
1172,170,1002,238,124,2709769.48,2026-07-02
4273,286,3987,762,526,6950974.56,2026-07-06
3269,631,2638,704,316,9770844.86,2026-07-13
4205,1043,3162,965,460,14962483.3,2026-07-08
2505,486,2019,258,219,4232548.2,2026-07-15
947,213,734,172,139,4135444.83,2026-07-05
268,76,192,56,21,1296316.0,2026-06-20
4788,1182,3606,711,608,1456557.48,2026-06-24
3985,349,3636,934,521,14425142.1,2026-07-01
3164,151,3013,736,282,652638.28,2026-06-27
950,97,853,99,103,1522641.0,2026-07-17
1290,211,1079,305,116,2684967.3,2026-07-01
3913,127,3786,532,460,4211718.42,2026-06-20
2712,678,2034,515,404,5194239.36,2026-06-24
1468,235,1233,282,160,4042945.4,2026-07-17
2215,624,1591,468,159,10607236.3,2026-07-10
2335,571,1764,385,173,10998667.25,2026-07-05
2488,295,2193,608,177,8625124.72,2026-07-04
4055,649,3406,896,380,11452982.55,2026-07-10
2290,294,1996,291,260,7784351.2,2026-07-18
3160,917,2243,518,334,15089979.6,2026-07-13
1249,148,1101,134,98,5968721.2,2026-06-24
697,88,609,125,66,2613283.01,2026-07-07
1802,206,1596,318,233,6299882.1,2026-07-16
1174,55,1119,274,152,3468946.94,2026-06-28
2036,51,1985,474,158,6531141.88,2026-07-01
480,25,455,100,45,1728441.6,2026-06-21
873,70,803,88,113,4269546.18,2026-07-10
1343,208,1135,301,188,3241155.91,2026-06-19
1683,387,1296,414,157,2759749.74,2026-07-14
534,22,512,126,40,1441266.0,2026-07-15
355,22,333,61,28,1658886.6,2026-06-28
347,50,297,84,48,337367.28,2026-07-06
2421,38,2383,246,197,6927473.61,2026-07-09
929,171,758,164,104,4594871.16,2026-06-22
4500,1073,3427,955,293,19182375.0,2026-07-05
3884,558,3326,585,251,6551880.76,2026-07-04
3809,526,3283,570,197,14079054.34,2026-06-25
2466,581,1885,591,316,2481165.9,2026-07-03
3371,846,2525,555,431,5640492.04,2026-07-13
3333,685,2648,381,260,16362830.22,2026-07-04
3961,662,3299,650,201,5311265.29,2026-07-08
1979,457,1522,333,182,3056822.77,2026-07-04
4743,23,4720,741,571,8678646.54,2026-07-08
1985,63,1922,258,218,3113849.65,2026-07-03
3371,702,2669,594,327,11687054.74,2026-07-15
2466,376,2090,560,179,2798145.54,2026-06-25
1144,244,900,153,115,4291475.76,2026-06-28
3110,425,2685,670,436,14207537.4,2026-07-09
4453,447,4006,698,570,16858879.88,2026-07-07
720,134,586,129,103,2544220.8,2026-06-27
689,144,545,82,41,2861024.27,2026-07-18
4190,414,3776,1005,483,3317516.3,2026-07-16
2737,532,2205,499,195,9353588.02,2026-07-03
4827,1001,3826,575,701,12436089.72,2026-07-08
505,116,389,66,57,1063706.75,2026-07-15
4669,118,4551,1038,469,15782153.8,2026-06-19
2574,740,1834,268,330,3370807.44,2026-07-03
74,6,68,16,4,20289.32,2026-07-02
2872,717,2155,319,420,14276453.52,2026-06-29
615,120,495,65,48,1275442.35,2026-07-09
1159,328,831,280,110,2206249.22,2026-07-17
3183,459,2724,763,352,6077779.35,2026-07-18
4467,272,4195,1115,663,7913111.82,2026-07-04
1512,275,1237,251,210,1028719.44,2026-07-11
1874,3,1871,198,169,4388664.38,2026-07-10
4510,868,3642,995,419,18606591.3,2026-07-10
2077,471,1606,384,142,2937854.19,2026-06-29
974,16,958,204,126,3742069.04,2026-07-13
178,15,163,23,10,97800.32,2026-07-11
325,57,268,70,19,409964.75,2026-06-27
412,51,361,69,34,1121385.72,2026-06-23
512,35,477,115,43,619059.2,2026-07-02
4769,653,4116,1067,544,18475392.14,2026-07-14
2676,242,2434,421,206,13190512.44,2026-07-05
4320,452,3868,855,369,6099883.2,2026-06-23
4610,1211,3399,640,550,15719224.1,2026-06-30
4603,1015,3588,508,406,21684042.55,2026-07-04
3172,804,2368,585,321,11091627.56,2026-06-29
3394,152,3242,492,361,3258918.8,2026-06-28
4456,969,3487,691,656,5193289.76,2026-06-26
1232,237,995,137,132,2578268.0,2026-06-20
3462,274,3188,743,297,4542940.26,2026-06-21
2755,662,2093,315,367,11690319.05,2026-06-30
807,137,670,172,64,246223.77,2026-07-12
3139,689,2450,622,464,771440.64,2026-07-18
646,48,598,161,59,1565258.0,2026-06-22
2777,310,2467,284,246,13021186.38,2026-07-11
1011,245,766,163,139,3075249.69,2026-07-09
1725,406,1319,294,227,2832432.75,2026-07-16
2368,389,1979,474,254,7722450.56,2026-06-28
2576,267,2309,441,382,6070910.72,2026-07-07
3896,655,3241,597,383,6229548.16,2026-07-12
424,56,368,60,22,568511.92,2026-07-08
4834,1186,3648,910,392,3888662.96,2026-06-30
2752,235,2517,469,262,6939278.08,2026-06-26
2815,263,2552,671,390,13608329.3,2026-06-19
4068,943,3125,578,578,16211508.84,2026-06-24
1436,71,1365,327,210,3542856.12,2026-07-09
4491,1314,3177,509,492,976478.13,2026-06-29
658,171,487,71,32,1376101.72,2026-06-27
1945,69,1876,271,99,2203023.7,2026-07-14
3785,764,3021,439,505,12137586.6,2026-07-11
4008,999,3009,416,203,10759275.6,2026-06-21
3419,24,3395,358,441,12393362.15,2026-07-16
4438,587,3851,460,478,18085426.94,2026-07-01
3577,367,3210,466,227,9463704.67,2026-06-24
2024,196,1828,471,165,8268667.44,2026-07-11
2239,406,1833,263,206,10743886.28,2026-06-25
3810,498,3312,612,343,13091198.1,2026-07-11
710,167,543,154,39,364109.3,2026-07-14
3156,386,2770,597,400,1034442.12,2026-07-16
127,10,117,14,13,537766.26,2026-07-17
2763,579,2184,324,408,12709247.4,2026-07-04
1932,216,1716,483,217,2689189.44,2026-07-10
659,175,484,100,36,618010.2,2026-07-18
2626,16,2610,368,204,9909631.16,2026-07-13
3312,951,2361,370,318,2828878.56,2026-07-09
2019,580,1439,400,273,9060868.2,2026-07-15
2767,393,2374,662,209,10965537.99,2026-07-10
692,128,564,164,78,218533.6,2026-06-26
3630,475,3155,440,355,11055491.7,2026-07-12
4929,812,4117,826,261,15718137.39,2026-07-10
3740,1004,2736,607,369,10425399.6,2026-07-01
3125,442,2683,407,455,10376031.25,2026-07-01
752,197,555,154,74,3008278.24,2026-07-02
652,21,631,99,51,1259012.0,2026-07-14
1313,378,935,230,146,2409972.11,2026-07-12
799,1,798,199,78,1798900.56,2026-06-30
2259,104,2155,292,134,2208375.81,2026-07-02
3726,1049,2677,789,238,670680.0,2026-07-10
2949,567,2382,341,313,12755604.6,2026-06-22
151,18,133,28,19,589940.39,2026-07-02
4633,497,4136,1048,497,4120775.52,2026-06-30
3168,173,2995,387,295,4880620.8,2026-07-02
4089,298,3791,472,289,9002546.85,2026-07-05
3499,613,2886,844,213,6429657.43,2026-07-04
2070,507,1563,511,260,2107177.2,2026-07-15
926,69,857,169,46,4395425.68,2026-06-22
2771,635,2136,471,306,6176836.1,2026-06-25
3577,278,3299,664,342,10859414.3,2026-06-26
